"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,36,"BRN","Brunei",1,"Belait",1,"Bukit Sawat","Mukim","Mukim",NA,NA
2,36,"BRN","Brunei",1,"Belait",2,"Kuala Balai","Mukim","Mukim",NA,"Kuala Belai"
3,36,"BRN","Brunei",1,"Belait",3,"Kuala Belait","Mukim","Mukim",NA,NA
4,36,"BRN","Brunei",1,"Belait",4,"Labi","Mukim","Mukim",NA,NA
5,36,"BRN","Brunei",1,"Belait",5,"Liang","Mukim","Mukim",NA,NA
6,36,"BRN","Brunei",1,"Belait",6,"Melilas","Mukim","Mukim",NA,NA
7,36,"BRN","Brunei",1,"Belait",7,"Seria","Mukim","Mukim",NA,NA
8,36,"BRN","Brunei",1,"Belait",8,"Sukang","Mukim","Mukim",NA,NA
9,36,"BRN","Brunei",2,"Brunei and Muara",9,"Berakas A","Mukim","Mukim",NA,NA
10,36,"BRN","Brunei",2,"Brunei and Muara",10,"Berakas B","Mukim","Mukim",NA,NA
11,36,"BRN","Brunei",2,"Brunei and Muara",11,"Gadong","Mukim","Mukim",NA,NA
12,36,"BRN","Brunei",2,"Brunei and Muara",12,"Kianggeh","Mukim","Mukim",NA,NA
13,36,"BRN","Brunei",2,"Brunei and Muara",13,"Kilanas","Mukim","Mukim",NA,NA
14,36,"BRN","Brunei",2,"Brunei and Muara",14,"Kota Batu","Mukim","Mukim",NA,NA
15,36,"BRN","Brunei",2,"Brunei and Muara",15,"Lumapas","Mukim","Mukim",NA,NA
16,36,"BRN","Brunei",2,"Brunei and Muara",16,"Mentiri","Mukim","Mukim",NA,NA
17,36,"BRN","Brunei",2,"Brunei and Muara",17,"Pengkalan Batu","Mukim","Mukim",NA,"Pangkalan Batu"
18,36,"BRN","Brunei",2,"Brunei and Muara",18,"Sengkurong","Mukim","Mukim",NA,NA
19,36,"BRN","Brunei",2,"Brunei and Muara",19,"Serasa","Mukim","Mukim",NA,NA
20,36,"BRN","Brunei",3,"Temburong",20,"Amo","Mukim","Mukim",NA,NA
21,36,"BRN","Brunei",3,"Temburong",21,"Bangar","Mukim","Mukim",NA,NA
22,36,"BRN","Brunei",3,"Temburong",22,"Batu Apoi","Mukim","Mukim",NA,NA
23,36,"BRN","Brunei",3,"Temburong",23,"Bukok","Mukim","Mukim",NA,"Bukok"
24,36,"BRN","Brunei",3,"Temburong",24,"Labu","Mukim","Mukim",NA,NA
25,36,"BRN","Brunei",4,"Tutong",25,"Keriam","Mukim","Mukim",NA,NA
26,36,"BRN","Brunei",4,"Tutong",26,"Kiudang","Mukim","Mukim",NA,NA
27,36,"BRN","Brunei",4,"Tutong",27,"Lamunin","Mukim","Mukim",NA,NA
28,36,"BRN","Brunei",4,"Tutong",28,"Pekan Tutong","Mukim","Mukim",NA,NA
29,36,"BRN","Brunei",4,"Tutong",29,"Rambai","Mukim","Mukim",NA,NA
30,36,"BRN","Brunei",4,"Tutong",30,"Tanjong Maya","Mukim","Mukim",NA,NA
31,36,"BRN","Brunei",4,"Tutong",31,"Telisai","Mukim","Mukim",NA,NA
32,36,"BRN","Brunei",4,"Tutong",32,"Ukong","Mukim","Mukim",NA,NA
